"PCoA1","PCoA2","species","group","plot_label","sea","status"
0.0285931983099763,0.0147626413146097,"Rhinobatos rhinobatos","Natives - Med. Sea","Rhinobatos rhinobatos (Med)","med",0
0.152045647118032,0.00110265760468806,"Rhinoptera marginata","Natives - Med. Sea","Rhinoptera marginata (Med)","med",0
-0.120132627948086,-0.0787947980075745,"Sargocentron caudimaculatum","Natives - Red Sea","Sargocentron caudimaculatum (RS)","red",0
0.0878214330760487,-0.083909574116217,"Sargocentron rubrum","Lessepsians - Med. Sea","Sargocentron rubrum (Med)","med",1
0.00900234939181304,0.00663692999708376,"Saurida lessepsianus","Lessepsians - Med. Sea","Saurida lessepsianus (Med)","med",1
-0.067227123431354,0.0561336294822652,"Scarus ferrugineus","Natives - Red Sea","Scarus ferrugineus (RS)","red",0
-0.0448130765264396,-0.0246318191176944,"Scarus fuscopurpureus","Natives - Red Sea","Scarus fuscopurpureus (RS)","red",0
0.173593534182276,-0.121396517210721,"Scarus ghobban","Lessepsians - Med. Sea","Scarus ghobban (Med)","med",1
-0.0985881108981698,0.00479845270249448,"Scarus niger","Natives - Red Sea","Scarus niger (RS)","red",0
0.00854532573777949,0.0411897817233795,"Scolopsis ghanam","Natives - Red Sea","Scolopsis ghanam (RS)","red",0
0.0927124505125416,0.0305311529861132,"Scomberomorus commerson","Lessepsians - Med. Sea","Scomberomorus commerson (Med)","med",1
0.113242275084382,0.136115199318315,"Seriola dumerili","Lessepsians - Med. Sea","Seriola dumerili (Med)","med",0
0.0332809481751615,0.0743457480447449,"Seriola dumerili","Lessepsians - Red Sea","Seriola dumerili (RS)","red",0
0.166255499291963,-0.0955008865461617,"Serranus cabrilla","Natives - Med. Sea","Serranus cabrilla (Med)","med",0
0.207708268167275,-0.118652195076344,"Serranus scriba","Natives - Med. Sea","Serranus scriba (Med)","med",0
-0.0726185403122631,-0.0279532485521512,"Siganus argenteus","Natives - Red Sea","Siganus argenteus (RS)","red",0
0.221341406975641,-0.124907128575655,"Siganus luridus","Lessepsians - Med. Sea","Siganus luridus (Med)","med",1
0.128242270371092,-0.120812051245162,"Siganus rivulatus","Lessepsians - Med. Sea","Siganus rivulatus (Med)","med",1
0.0110976996655111,0.0482311034305016,"Siganus rivulatus","Lessepsians - Red Sea","Siganus rivulatus (RS)","red",1
